name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
paris,2007-01-01T00:00:00,13.9,13.9,11.7,86.47,0.022,100,rain,0,0,68.4,30.9,212,1018.7,95.5,16.7,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T01:00:00,14,14,11.6,85.1,6.432,100,rain,0,0,59.7,25.5,220,1018.7,96.9,25.4,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T02:00:00,14,14,11.4,84.29,0.014,100,rain,0,0,57.6,27.7,213,1018.4,92.7,43,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T03:00:00,13.8,13.8,10.6,80.82,0,0,,0,0,57.6,21.7,239,1018.7,67.7,25.4,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T04:00:00,12.9,12.9,5.2,59.76,0,0,,0,0,58.4,26.8,241,1019.4,23.7,27.6,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T05:00:00,11.7,11.7,6.4,69.63,0,0,,0,0,,24,239,1019.3,30,24.7,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T06:00:00,11.5,11.5,6.9,73.22,0,0,,0,0,46.4,24.3,239,1019,39.2,16.8,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T07:00:00,10.9,10.9,6.1,72.32,0.19,100,rain,0,0,50.7,27.2,240,1019.4,44.1,16.4,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T08:00:00,10.5,10.5,5.1,69.06,0,0,,0,0,56.9,24.1,231,1019.7,89.2,16.4,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T09:00:00,10.3,10.3,4.8,68.78,0.029,100,rain,0,0,50,28.6,241,1020.7,90,15.4,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T10:00:00,9.6,6,3,63.49,0,0,,0,0,78.6,30.8,258,1021.7,35.2,16.4,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T11:00:00,9.6,6.7,2.8,62.8,0.058,100,rain,0,0,75.6,21.2,268,1023,41.1,17,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T12:00:00,9.7,6.9,2.3,60.11,0,0,,0,0,54,21.5,262,1023.7,32.2,17.7,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T13:00:00,10.3,10.3,2.2,57.34,0,0,,0,0,48.1,24.6,269,1023.7,56.1,16.9,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T14:00:00,10.7,10.7,1.9,54.47,0,0,,0,0,46.4,17.9,259,1023,82.6,17.6,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T15:00:00,10.4,10.4,2.1,56.33,0,0,,0,0,39.2,13.9,263,1022.7,90.4,20.1,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T16:00:00,9.8,7.7,3.3,63.95,0,0,,0,0,30.6,15.4,203,1022.3,94.1,21.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T17:00:00,9,6.7,3.5,68.68,0,0,,0,0,35.3,15.2,207,1021.3,98.3,16.1,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T18:00:00,8.5,6.9,3.5,70.65,0,0,,0,0,25.9,9.8,182,1019.9,94.1,19.8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T19:00:00,8.2,6.1,4.4,76.93,0,0,,0,0,26.3,12.4,178,1018,67.7,19.2,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T20:00:00,7.3,4.2,4.9,84.68,1.989,100,rain,0,0,29.5,18.3,201,1017.2,81.4,10,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T21:00:00,6.2,2.8,4.1,86.04,1.044,100,rain,0,0,50,18.4,200,1016.2,92.7,27.3,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T22:00:00,6.3,2.4,4.6,89.09,0,0,,0,0,39.5,23.5,215,1015.3,96.9,9.7,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-01T23:00:00,6.8,2.5,4.4,84.72,0.661,100,rain,0,0,64.8,28.1,280,1016.1,96.9,18.8,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T00:00:00,7.4,3.9,3.8,78.07,0.029,100,rain,0,0,57.6,21.7,279,1018,90,27.3,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T01:00:00,7.5,3.7,2.6,70.74,0,0,,0,0,55.5,25.8,288,1020,36.2,46.8,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T02:00:00,7.2,3.5,1.7,67.68,0,0,,0,0,57.6,23.7,287,1021.6,21.7,44.6,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T03:00:00,6.6,3.4,2,72.78,0.007,100,rain,0,0,46.4,17.5,278,1023,41.8,36.7,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T04:00:00,6.1,2.6,2.3,76.33,0,0,,0,0,41.4,19.3,269,1024.4,50.7,44.9,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T05:00:00,5.7,1.9,2.3,78.6,0.007,100,rain,0,0,46.4,20,271,1025.1,45.2,27.6,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T06:00:00,5.6,2.7,2,77.41,0,0,,0,0,35.3,13.9,267,1025.4,33.2,13.5,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T07:00:00,5.7,2.9,1.7,75.1,0,0,,0,0,36.2,13.6,266,1025.4,33,13.7,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T08:00:00,5.6,2,2,77.36,0,0,,0,0,30.9,18.6,258,1026.1,20.3,15.7,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T09:00:00,5.3,2.1,2.2,80.05,0,0,,0,0,31.5,15.3,248,1026.4,33.4,13.7,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T10:00:00,5.7,2.3,2.2,78.32,0,0,,0,0,34.7,17,249,1026.4,42.9,15.1,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T11:00:00,6.8,3.6,2.5,74.23,0.015,100,rain,0,0,38.6,17.1,267,1026.4,60.3,13.8,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T12:00:00,7,3.5,3,75.95,0.016,100,rain,0,0,46.8,20.7,270,1026.8,67.8,13.5,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T13:00:00,6.4,3.2,4,84.58,0,0,,0,0,43,17.4,263,1026.1,90,11.5,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T14:00:00,7,3.8,4.2,82.73,0.445,100,rain,0,0,46.4,18.1,271,1026.1,87.3,11.5,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T15:00:00,8.1,5,4.2,76.32,0.014,100,rain,0,0,64.2,19.9,280,1026.1,89.3,14,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T16:00:00,8.2,5.1,4.3,76.44,0.211,100,rain,0,0,41.2,20.3,279,1026.8,37.7,16.8,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T17:00:00,8,6,4.3,77.74,0,0,,0,0,32.3,11,272,1027.5,44.7,17.5,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T18:00:00,7.7,5.3,3.6,75.42,0,0,,0,0,29.5,13.5,271,1028.1,41.7,23.8,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T19:00:00,7.9,5.1,3.9,75.84,0.234,100,rain,0,0,33,16.6,272,1029.1,56.5,23.6,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T20:00:00,7.9,5.2,3.8,75.12,0,0,,0,0,31.7,16.3,270,1029.8,60.9,20.6,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T21:00:00,8,5.4,3.8,74.64,0,0,,0,0,31.7,15.2,271,1030.1,81.9,18.8,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T22:00:00,8.1,5.9,3.5,72.94,0,0,,0,0,30.3,12.4,277,1031.2,64.9,18.8,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-02T23:00:00,7.9,6.2,3.8,75.51,0.014,100,rain,0,0,22.3,9.4,269,1031.4,66,21.6,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-03T00:00:00,7.5,5.3,3.8,77.68,0.014,100,rain,0,0,18.4,11.9,254,1031.8,73.1,18.8,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-03T01:00:00,7.8,6.1,3.8,76.19,0,0,,0,0,25.1,9.2,269,1031.8,73.1,18.8,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-03T02:00:00,7.5,5.3,3.9,77.94,0,0,,0,0,22.3,12.1,267,1032.9,92.8,23.3,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-01-03T03:00:00,6.6,4.3,3.7,81.68,0,0,,0,0,22.3,11.5,258,1032.9,78.2,20.4,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
