name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
paris,2007-10-01T00:00:00,15.1,15.1,10.5,73.72,0,0,,,,11.2,5.9,56,1021,58.2,31.2,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07146099999,07147099999,07150099999"
paris,2007-10-01T01:00:00,14.8,14.8,10.7,76.11,0,0,,,,14.8,10.1,56,1020.3,27.2,31.2,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07146099999,07147099999,07150099999"
paris,2007-10-01T02:00:00,14.6,14.6,11.1,79.82,0,0,,,,13.4,9.2,66,1020,58.2,26,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07146099999,07147099999,07150099999"
paris,2007-10-01T03:00:00,14.4,14.4,12,85.29,0.027,100,rain,,,7.6,9.2,73,1020,58.2,21.2,,,,,"Rain, Partially cloudy",rain,"07149099999,07146099999,07147099999,07150099999"
paris,2007-10-01T04:00:00,14.3,14.3,12.4,88.51,0.119,100,rain,,,11.2,8.6,69,1019.6,58.2,16.7,,,,,"Rain, Partially cloudy",rain,"07149099999,07146099999,07147099999,07150099999"
paris,2007-10-01T05:00:00,14.1,14.1,12.8,91.82,0,0,,,,15.4,8.6,83,1019,58.2,15.6,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07146099999,07147099999,07150099999"
paris,2007-10-01T06:00:00,14.1,14.1,13.1,93.37,0,0,,,,11.2,8.6,107,1019,83,11.7,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07146099999,07147099999,07150099999"
paris,2007-10-01T07:00:00,14.7,14.7,13.1,90.65,0,0,,,,7.6,7.3,116,1019,83.7,10.1,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T08:00:00,14.7,14.7,13.3,91.8,0,0,,,,16.8,9.9,131,1019,97.8,9.8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T09:00:00,15,15,13.6,91.32,0,0,,,,11.2,10.6,138,1019,97.8,10.1,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T10:00:00,15.6,15.6,13.9,90.04,0.015,100,rain,,,11.2,11.1,135,1019,97.8,10.2,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T11:00:00,16.5,16.5,14.3,86.39,0,0,,,,17.7,7.8,167,1020,98.6,10.4,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T12:00:00,17,17,15.1,88.71,1.604,100,rain,,,18.4,4.1,165,1020,99.3,9.6,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T13:00:00,17.9,17.9,16.3,90.62,0.146,100,rain,,,14.8,3.9,177,1019.9,97.2,11.7,,,,,"Rain, Overcast",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T14:00:00,19.2,19.2,16.8,85.88,0,0,,,,12,4.8,140,1019,99.3,10.6,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T15:00:00,20.6,20.6,16.8,78.92,0,0,,,,18.4,5.5,182,1019,90,10.9,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T16:00:00,21.2,21.2,16.8,75.68,0,0,,,,22.3,11,190,1019.3,81.9,12.1,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T17:00:00,21.5,21.5,17,75.36,0,0,,,,24.4,4.5,218,1019,90,19.5,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T18:00:00,21.4,21.4,17.2,77.27,0,0,,,,14.8,3.9,174,1019,90,19.5,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T19:00:00,20.5,20.5,17.6,83.47,0,0,,,,14.8,5.2,129,1019,90,26.8,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T20:00:00,19.5,19.5,17.5,88.24,0,0,,,,17.8,10.9,132,1019,90,17.2,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T21:00:00,19.2,19.2,17.4,89.16,0.226,100,rain,,,14.8,3.9,205,1019.3,84.6,12.8,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T22:00:00,18.5,18.5,16.9,90.37,0.219,100,rain,,,11.2,7,155,1019.6,81.9,15.9,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-01T23:00:00,17.9,17.9,16.7,92.42,0,0,,,,11.3,4.2,193,1019,66.5,13.1,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-02T00:00:00,17.6,17.6,16.7,94.43,0,0,,,,11.2,4.5,173,1019,66.5,7.6,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-02T01:00:00,17.4,17.4,16.5,94.78,0,0,,,,11.2,2.9,138,1019,67.7,5.3,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-02T02:00:00,17.1,17.1,16.5,95.98,0,0,,,,7.1,3.3,141,1019,60.9,2.7,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-02T03:00:00,16.7,16.7,15.9,95.13,0,0,,,,3.6,2.8,153,1019,65.3,1.7,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-02T04:00:00,16.4,16.4,15.9,96.54,0.148,100,rain,,,7.6,3.3,171,1018.7,90,0.6,,,,,"Rain, Partially cloudy",rain,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-10-02T05:00:00,16.2,16.2,15.7,97.14,0,0,,,,6.9,0.3,250,1019,90,0,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
