name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
paris,2007-11-01T00:00:00,4.4,4.4,3.7,95.38,0,0,,,,,0,,1031.8,0,8,,,,,Clear,clear-night,"07146099999,07150099999"
paris,2007-11-01T01:00:00,7.1,7.1,5.5,89.3,0,0,,,,7.4,3.6,285,1031.7,0,11,,,,,Clear,clear-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T02:00:00,3.5,3.5,2.7,94.48,0,0,,,,,3.2,309,1031.4,0,6.7,,,,,Clear,clear-night,"07149099999,07146099999,07150099999"
paris,2007-11-01T03:00:00,2.9,2.9,2.5,97.24,0,0,,,,,2.9,323,1031.4,0,5.7,,,,,Clear,clear-night,"07149099999,07146099999,07150099999"
paris,2007-11-01T04:00:00,6.1,4.8,5.1,93.25,0,0,,,,7.7,6.7,280,1031.7,0,4.4,,,,,Clear,clear-night,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T05:00:00,3.1,3.1,2.2,94.46,0,0,,,,,1.8,287,1031.7,11.8,5,,,,,Clear,clear-night,"07149099999,07146099999,07150099999"
paris,2007-11-01T06:00:00,3.1,3.1,3.1,100,0,0,,,,,3.6,326,1031.8,65.6,7,,,,,Partially cloudy,partly-cloudy-night,"07149099999,07150099999"
paris,2007-11-01T07:00:00,6.9,6.9,5.9,93.5,0,0,,,,8.1,1,338,1031.8,97.8,8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T08:00:00,5,5,5,100,0,0,,,,,1.4,310,1031.8,90,5.6,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07146099999,07150099999"
paris,2007-11-01T09:00:00,6.8,6.8,6.2,96.02,0,0,,,,,1.4,290,1031.8,90,6.6,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07146099999,07150099999"
paris,2007-11-01T10:00:00,10.1,10.1,7.4,83.04,0,0,,,,7.9,0.5,10,1032.7,90,8.1,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T11:00:00,9.8,9.8,8.6,92.26,0,0,,,,,2.2,20,1032.9,90,7.8,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07146099999,07150099999"
paris,2007-11-01T12:00:00,11.2,11.2,8.6,83.99,0,0,,,,,2.9,350,1032.9,92,7.8,,,,,Overcast,cloudy,"07149099999,07146099999,07150099999"
paris,2007-11-01T13:00:00,13,13,8.3,72.7,0,0,,,,16.9,7.6,23,1032.9,97.8,12.6,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T14:00:00,13.1,13.1,9.1,76.69,0,0,,,,,5.5,40,1031.8,90,11,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07150099999"
paris,2007-11-01T15:00:00,12.9,12.9,9.1,77.68,0,0,,,,,9.5,358,1031.8,90,11,,,,,Partially cloudy,partly-cloudy-day,"07149099999,07146099999,07150099999"
paris,2007-11-01T16:00:00,13.2,13.2,9,75.37,0,0,,,,17.9,7.8,12,1031.8,91.2,13.5,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T17:00:00,13.2,13.2,9.3,77.18,0,0,,,,18.4,6.5,345,1031.8,90.8,12.5,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T18:00:00,12.9,12.9,9.4,79.36,0,0,,,,14.8,4.5,330,1031.8,93.1,13.8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T19:00:00,13.3,13.3,9.5,77.76,0,0,,,,21.9,11,342,1032.3,97.3,14.8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T20:00:00,12.9,12.9,9.3,78.47,0,0,,,,22.3,13.8,351,1032.9,97.3,18,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T21:00:00,12.7,12.7,8.9,78.1,0,0,,,,22.3,11.2,358,1032.9,97.3,22.1,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T22:00:00,12.5,12.5,8.8,78.26,0,0,,,,24.7,13.7,354,1033.2,97.3,20.8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-01T23:00:00,12.4,12.4,9,79.47,0,0,,,,25.9,10.4,349,1033.5,97.3,20.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T00:00:00,12.4,12.4,8.6,77.56,0,0,,,,22.3,10.2,341,1032.9,97.3,17.7,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T01:00:00,12.4,12.4,8.5,76.9,0,0,,,,23.6,10.5,351,1032.9,97.3,17.5,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T02:00:00,12.1,12.1,8.4,77.65,0,0,,,,18.4,10.4,346,1032.9,97.3,15.7,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T03:00:00,11.7,11.7,8,78.13,0,0,,,,18.4,10.7,1,1032.9,97.3,15.4,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T04:00:00,11.6,11.6,8,78.31,0,0,,,,21.4,10.2,20,1032.9,97.3,17.5,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T05:00:00,11.5,11.5,8,79.21,0,0,,,,25.9,10.9,28,1032.9,97.3,16.6,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T06:00:00,11.2,11.2,7.8,79.59,0,0,,,,29.5,11,39,1032.4,97.3,15.4,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T07:00:00,11.1,11.1,7.6,78.65,0,0,,,,24,10.7,47,1032.4,91.9,10.9,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T08:00:00,11.1,11.1,7.4,77.89,0,0,,,,18.4,7.1,63,1032.9,92.6,10.5,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T09:00:00,11.2,11.2,7.7,79.42,0,0,,,,11.2,3.9,59,1033.2,92.6,10.4,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T10:00:00,11.6,11.6,7.8,77.26,0,0,,,,13.6,7,66,1033.9,92.6,10,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T11:00:00,12,12,7.6,74.75,0,0,,,,14.8,4.1,62,1033.9,92.6,10,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T12:00:00,12.5,12.5,8,74.22,0,0,,,,11.2,3.7,58,1033.6,92.6,9.8,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T13:00:00,13,13,8.5,73.99,0,0,,,,10.5,3.8,54,1032.9,92.6,10.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T14:00:00,13.8,13.8,8.4,69.78,0,0,,,,14.8,7.5,36,1032.9,91.9,10.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T15:00:00,13.7,13.7,8.8,72.54,0,0,,,,22.3,8.5,21,1032.1,92.6,10.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
paris,2007-11-02T16:00:00,13.4,13.4,9,74.84,0,0,,,,21.3,11,22,1031.8,91.9,10.2,,,,,Overcast,cloudy,"07149099999,07156099999,07146099999,07147099999,07150099999"
